"Activate PayPal Express payment","Activeer PayPal Express betaling"
"Test mode (sandbox) for PayPal payment","Testmodus (sandbox) voor de betaling van Paypal"
"IntegerNet_MagentoLocalizedEbay::Email Associated with PayPal Merchant Account","E-mail Associated met PayPal Merchant Account"
"Setup of PayPal","Setup van PayPal"
"Setup of modules powered by PayPal","Setup van modules aangedreven door PayPal"
"IntegerNet_MagentoLocalizedEbay::What is PayPal? Click for more info or to register.","Wat is PayPal? Klik voor meer informatie en het aanmeldformulier."
"Please enter the e-mail address of your PayPal merchant account.","Vul het e-mailadres van uw PayPal-merchant account."
"The information on setting the PayPal API you will find in your PayPal merchant account under the menu item PayPal &gt; My account &gt; My profile &gt; Merchant &gt; <a href=""%s"" target=""_blank"">API access</a>.","De informatie over het instellen van de PayPal-API vindt u in uw PayPal-merchant account onder het menu-item PayPal &gt; Mijn account &gt; Mijn profiel &gt; Merchant &gt; <a href=""%s"" target=""_blank""> API-toegang </ a>."
"You have any further questions about your merchant account? <a href=""%s"" target=""_blank"">Please click here</a>.","Heeft u nog vragen over uw merchant account? <a href=""%s"" target=""_blank""> Klik hier </ a>."
"You have the option to make further settings for PayPal after you finished the setup here.","Je hebt de mogelijkheid om verdere instellingen voor PayPal te maken nadat u de installatie klaar bent hier."
,
"Configure PayPal Express","Configureren PayPal Express"
,
"Install now","Nu installeren"
,
"You have successfully activated PayPal payment. Anytime you have the possibility to select advanced settings <a href=""%s"">here</a>.","Je hebt met succes geactiveerd PayPal betaling. Anytime u de mogelijkheid om geavanceerde instellingen <a href=""%s""> hier </ a> te selecteren."
,
"IntegerNet_MagentoLocalizedEbay::No","Geen"
"IntegerNet_MagentoLocalizedEbay::Yes","Ja"
